line_number,name,left_context,right_context,full_context
1835,England,Realmes of , and Scotland,Realmes of England and Scotland
1842,England,,", we haue","England, we haue"
1846,Queene,,s Maiestie,Queenes Maiestie
1848,Queene,Dolphin and , of Scottes,Dolphin and Queene of Scottes
1856,Queene,,s hand,Queenes hand
1862,Queene,late , Maries,late Queene Maries
1864,England,Steward of ,"e, vnder","Steward of Englande, vnder"
1867,Queene,to the ,s highnes,to the Queenes highnes
1874,Queene,sister , Mary,sister Queene Mary
1899,Queene,before the ,s presence,before the Queenes presence
1904,Queene,before the ,s Counsayle,before the Queenes Counsayle
1974,Queene,at the ,s charges,at the Queenes charges
1975,Queene,and the ,,and the Queene
1978,Queene,And the , resisting,And the Queene resisting
1980,Queene,sayde ,",<note","sayde Queene,<note"
1983,England,master of , for ayde,master of England for ayde
1983,Queene,to the ,s master,to the Queenes master
1984,England,Queene of  ,e for,Queene of  Englande for
1984,Queene,vnto the , of  Englande,vnto the Queene of  Englande
1990,England,in ,e; considering,in Englande; considering
1991,Queene,to the , of Fraunce,to the Queene of Fraunce
1992,Queene,foresayd ,", as might","foresayd Queene, as might"
2028,Queene,p>The ,s Maiestie,p>The Queenes Maiestie
2030,Queene,how the , of Scottes,how the Queene of Scottes
2034,Queene,>The ,s Maiestie,>The Queenes Maiestie
2040,Queene,of the ,s nauie,of the Queenes nauie
2145,England,into ,e for,into Englande for
2169,Queene,the , regents,the Queene regents
2173,Queene,with the ,.</note,with the Queene.</note
2175,Queene,, as then,Queene as then
2178,Queene,with the ,", although","with the Queene, although"
2180,Queene,sayd , ought,sayd Queene ought
2191,Queene,to the , Dowager,to the Queene Dowager
2230,England,into ,.</p>,into England.</p>
2232,Queene,/hi> , regent,/hi> Queene regent
2237,Queene,the , Dowager,the Queene Dowager
2351,Queene,with the , Dowager,with the Queene Dowager
2373,Queene,with the , Dowager,with the Queene Dowager
2673,Queene,>The , Dowager,>The Queene Dowager
2673,Queene,day the , Dowager,day the Queene Dowager
2676,Queene,to the ,s Maiestie,to the Queenes Maiestie
2677,England,,", and","England, and"
2680,Queene,Marie , of Scotland,Marie Queene of Scotland
2748,Elizabeth,"princesse, ", by the,"princesse, Elizabeth by the"
2749,England,Queene of ,", France","Queene of England, France"
2749,Ireland,and ,", defender","and Ireland, defender"
2749,Queene,, of England,Queene of England
2751,Queene,, of Fraunce,Queene of Fraunce
2801,Queene,, of Fraunce,Queene of Fraunce
2802,England,armes of ,"e, sith","armes of Englande, sith"
2803,England,Maiestie of ,", and","Maiestie of England, and"
2803,Queene,,s Maiestie,Queenes Maiestie
2806,England,Maiestie of ,"e, hir","Maiestie of Englande, hir"
2806,Queene,of the ,s Maiestie,of the Queenes Maiestie
2816,England,,e into,Englande into
2821,Queene,,s Maiesties,Queenes Maiesties
2823,Queene,For the ,s Maiestie,For the Queenes Maiestie
