paragraph_number,name,start_offset,end_offset,left_context,right_context,full_context
185,sir,79,82,"Scrope,",,"Scrope, sir"
186,William,198,205,of one,Atkinson,of one William Atkinson
188,Abbot,252,257,of ye,of Dunfernes,of ye Abbot of Dunfernes
188,Earle,339,344,where ye,of,where ye Earle of
188,George,108,114,Sir,Howard,Sir George Howard
188,Howard,115,121,George,", Sir","George Howard , Sir"
188,Iames,52,57,sir,Croft,sir Iames Croft
188,Iames,389,394,Lorde,Steward,Lorde Iames Steward
188,sir,48,51,"Grey,",Iames,"Grey, sir Iames"
188,Sir,104,107,"Scrope,",George,"Scrope, Sir George"
188,Sir,123,126,"Howard,",Henrye,"Howard, Sir Henrye"
191,Archebalde,153,163,"Stewarde,",Cambell,"Stewarde, Archebalde Cambell"
191,duke,46,50,to the,of Chateau,to the duke of Chateau
191,Earle,230,235,to the,of Monteith,to the Earle of Monteith
191,Earle,297,302,to the,of Glencarne,to the Earle of Glencarne
191,George,195,201,"Loughennell,",Gream,"Loughennell, George Gream"
191,Iames,137,142,Lorde,Stewarde,Lorde Iames Stewarde
191,Iames,249,254,"Monteith,",Coningham,"Monteith, Iames Coningham"
191,Robert,73,79,"reault,",,"reault, Robert"
193,Duke,104,108,the,of,the Duke of
193,Duke,651,655,with the,", and","with the Duke , and"
193,Earle,174,179,the,of,the Earle of
193,Erle,153,157,the,of Arrayne,the Erle of Arrayne
193,George,542,548,,Howard,George Howard
193,Henry,565,570,and Sir,Percye,and Sir Henry Percye
193,Howard,549,555,George,", and","George Howard , and"
193,Iames,239,244,,", Prior","Iames , Prior"
193,Iames,491,496,Sir,Croft,Sir Iames Croft
193,Sir,487,490,"Grey,",Iames,"Grey, Sir Iames"
193,Sir,520,523,"Scroupe,",,"Scroupe, Sir"
193,Sir,561,564,and,Henry,and Sir Henry
194,Duke,229,233,where the,and Scottishe,where the Duke and Scottishe
195,George,243,249,Sir,Howard,Sir George Howard
195,Howard,250,256,George,", and","George Howard , and"
195,Iames,226,231,of Sir,Croft,of Sir Iames Croft
195,Queene,40,46,the,regents,the Queene regents
195,Sir,222,225,repaire of,Iames,repaire of Sir Iames
195,Sir,239,242,"Croft,",George,"Croft, Sir George"
195,Trombull,26,34,"thither,",", the","thither, Trombull , the"
196,duke,214,218,,of Chateau,duke of Chateau
196,George,142,148,and fit,Howard,and fit George Howard
196,Howard,149,155,George,", went","George Howard , went"
196,Iames,121,126,"Lieutenant,Sir",Croft,"Lieutenant,Sir Iames Croft"
196,Queene,180,186,with the,. and,with the Queene . and
196,Queene,309,315,,as then,Queene as then
196,Sir,117,120,"Lieutenant,",Iames,"Lieutenant, Sir Iames"
197,maister,21,28,them,Somersette,them maister Somersette
197,maister,41,48,"Somersette,",Pelham,"Somersette, maister Pelham"
198,coronell,545,553,"Marigues,",of the,"Marigues, coronell of the"
198,Counte,507,513,and the,,and the Counte
198,Queene,41,47,with the,", although","with the Queene , although"
198,Queene,188,194,sayd,ought,sayd Queene ought
199,Queene,419,425,to the,Dowager,to the Queene Dowager
200,maister,94,101,,and mistresse,maister and mistresse
209,George,43,49,and Sir,Howard,and Sir George Howard
209,Howard,50,56,George,", returned","George Howard , returned"
209,Iames,22,27,Sir,Croft,Sir Iames Croft
209,Queene,75,81,from ye,regent,from ye Queene regent
209,Sir,18,21,"euening,",Iames,"euening, Sir Iames"
209,Sir,39,42,and,George,and Sir George
