paragraph_number,name,start_offset,end_offset,left_context,right_context,full_context
665,Robert,553,559,of sir,Conestable,of sir Robert Conestable
665,sir,549,552,of,Robert,of sir Robert
665,sir,626,629,copanie of,Tho.,copanie of sir Tho.
667,Earle,99,104,,of Lenox,Earle of Lenox
667,sir,57,60,same day,William,same day sir William
667,William,61,68,day sir,Drurie,day sir William Drurie
668,duke,409,413,that the,of Chastellerault,that the duke of Chastellerault
669,Duke,270,274,sayde,of Chastellerault,sayde Duke of Chastellerault
671,Robert,37,43,sir,Conestable,sir Robert Conestable
671,sir,33,36,"May,",Robert,"May, sir Robert"
671,William,376,383,Generall,Drurie,Generall William Drurie
672,Duke,4,8,The,of Chastell,The Duke of Chastell
673,Sir,18,21,"May,",William,"May, Sir William"
673,William,22,29,Sir,Drurie,Sir William Drurie
674,Archbishop,345,355,the,of Saint,the Archbishop of Saint
674,duke,417,421,to the,of Chastellereault,to the duke of Chastellereault
675,Knight,1758,1764,Lorde,receyued,Lorde Knight receyued
675,Queene,364,370,,of Englandes,Queene of Englandes
675,Sir,6,9,After,William,After Sir William
675,William,10,17,After Sir,Drury,After Sir William Drury
676,Iohn,805,809,named,Fleming,named Iohn Fleming
676,maister,1004,1011,that his,was a,that his maister was a
676,Queene,1381,1387,,of Englande,Queene of Englande
676,Sir,14,17,"incling,",William,"incling, Sir William"
676,Sir,101,104,of Ma,William,of Ma Sir William
676,Sir,351,354,sayde,William,sayde Sir William
676,William,18,25,"incling,Sir",Drurie,"incling,Sir William Drurie"
676,William,105,112,Ma Sir,Drurie,Ma Sir William Drurie
676,William,355,362,sayde Sir,,sayde Sir William
678,George,238,244,where sir,Carie,where sir George Carie
678,George,403,409,,Caries,George Caries
678,George,743,749,thanked Sir,very,thanked Sir George very
678,Sir,19,22,,William,Sir William
678,sir,234,237,where,George,where sir George
678,Sir,378,381,"Generall,",,"Generall, Sir"
678,Sir,739,742,thanked,George,thanked Sir George
678,William,23,30,Sir,Drurie,Sir William Drurie
679,George,13,19,Herevpon Sir,Carie,Herevpon Sir George Carie
679,Sir,9,12,Herevpon,George,Herevpon Sir George
680,George,29,35,Sir,Caries,Sir George Caries
680,Sir,25,28,,George,Sir George
681,GEorge,0,6,,Carie,GEorge Carie
684,Earle,46,51,May the,of,May the Earle of
684,Erle,101,105,with the,of Glenrn,with the Erle of Glenrn
684,Sir,358,361,presence of,William,presence of Sir William
684,William,362,369,of Sir,Drury,of Sir William Drury
685,Andrew,293,299,named,Hamilton,named Andrew Hamilton
685,Earle,44,49,the,of Lenoux,the Earle of Lenoux
685,Sir,20,23,Maye,William,Maye Sir William
685,Sir,391,394,with,William,with Sir William
685,William,24,31,Maye Sir,Drurye,Maye Sir William Drurye
685,William,395,402,with Sir,Drury,with Sir William Drury
686,George,65,71,and Sir,Carie,and Sir George Carie
686,George,694,700,with Sir,Carie,with Sir George Carie
686,Sir,11,14,"Heerevpon,",William,"Heerevpon, Sir William"
686,Sir,61,64,and,George,and Sir George
686,Sir,258,261,"with him,",William,"with him, Sir William"
686,Sir,690,693,with,George,with Sir George
686,William,15,22,Sir,Drury,Sir William Drury
686,William,262,269,"him,Sir",Drury,"him,Sir William Drury"
688,Sir,183,186,whom,William,whom Sir William
688,sir,421,424,charge of,,charge of sir
688,Thomas,443,449,,Maners,Thomas Maners
688,William,187,194,whom Sir,Drury,whom Sir William Drury
690,Abbot,283,288,the,of Kilwinnings,the Abbot of Kilwinnings
691,Iames,218,223,sister of,Hamilton,sister of Iames Hamilton
694,George,248,254,sir,Carie,sir George Carie
694,sir,18,21,Maye,William,Maye sir William
694,sir,244,247,sente,George,sente sir George
694,William,22,29,Maye sir,Drury,Maye sir William Drury
697,George,286,292,and sir,Carie,and sir George Carie
697,sir,282,285,and,George,and sir George
698,Queene,219,225,of the,of Englande,of the Queene of Englande
698,Sir,750,753,But,William,But Sir William
698,William,754,761,But Sir,Drury,But Sir William Drury
700,Earle,86,91,the,,the Earle
700,Earle,256,261,"pardon,The",of,"pardon,The Earle of"
702,Earle,415,420,of the,of Morton,of the Earle of Morton
702,Earle,1016,1021,as the,of Sussex,as the Earle of Sussex
702,sir,60,63,vttred by,William,vttred by sir William
702,William,64,71,by sir,Drury,by sir William Drury
703,duke,4,8,The,of Chastellereaults,The duke of Chastellereaults
703,Duke,93,97,"rased,The",of Chastellereaultes,"rased,The Duke of Chastellereaultes"
703,Duke,204,208,said,", called","said Duke , called"
704,Queene,753,759,at the,of Englandes,at the Queene of Englandes
705,Sir,1287,1290,"shorte,",Thomas,"shorte, Sir Thomas"
705,Sir,1324,1327,sent,,sent Sir
705,Thomas,1291,1297,"shorte,Sir",Maners,"shorte,Sir Thomas Maners"
705,Thomas,1346,1352,,Maners,Thomas Maners
706,Sir,27,30,"come,",William,"come, Sir William"
706,William,31,38,Sir,Drewry,Sir William Drewry
711,Robert,62,68,with sir,Conestable,with sir Robert Conestable
711,sir,58,61,with,Robert,with sir Robert
713,Byshop,123,129,on the,of Londons,on the Byshop of Londons
713,Iohn,444,448,one,,one Iohn
716,George,1378,1384,And,,And George
716,Iohn,68,72,vnto,Kensey,vnto Iohn Kensey
716,Iohn,327,331,,Throckmorton,Iohn Throckmorton
716,Iohn,1033,1037,were,Throckmorton,were Iohn Throckmorton
716,maister,262,269,"wherevpon,",Drewghe,"wherevpon, maister Drewghe"
716,Roberte,615,622,sir,Catlin,sir Roberte Catlin
716,sir,611,614,,Roberte,sir Roberte
716,Thomas,27,33,vttered by,Kete,vttered by Thomas Kete
716,Thomas,1316,1322,executed,Brooke,executed Thomas Brooke
717,Duke,23,27,The,of Norffolke,The Duke of Norffolke
717,Duke,93,97,the,of Northfolke,the Duke of Northfolke
718,Bishop,178,184,of the,of Londons,of the Bishop of Londons
718,Iohn,109,113,"Londo,",Felton,"Londo, Iohn Felton"
718,Iohn,468,472,executed.,Felton,executed. Iohn Felton
719,Earle,62,67,by the,of Sussex,by the Earle of Sussex
719,Earle,83,88,the,,the Earle
719,Edward,602,608,belonging to,,belonging to Edward
719,William,1459,1466,perteyning to,Maxwell,perteyning to William Maxwell
720,Arthur,142,148,beeing,Greames,beeing Arthur Greames
720,Edwarde,418,425,Sir,Hastings,Sir Edwarde Hastings
720,Erle,300,304,by the,of Sussex,by the Erle of Sussex
720,Francis,440,447,Sir,Russell,Sir Francis Russell
720,George,206,212,Riche,", two","Riche George , two"
720,Henry,543,548,Sir,Curwen,Sir Henry Curwen
720,Robert,521,527,Sir,Stapleton,Sir Robert Stapleton
720,Sir,414,417,"Knightes,",Edwarde,"Knightes, Sir Edwarde"
720,Sir,436,439,"Hastings,",Francis,"Hastings, Sir Francis"
720,Sir,457,460,"Russell,",Valentine,"Russell, Sir Valentine"
720,Sir,479,482,"Browne,",,"Browne, Sir"
720,Sir,517,520,"Hilton,",Robert,"Hilton, Sir Robert"
720,Sir,539,542,"Stapleton,",Henry,"Stapleton, Sir Henry"
720,Sir,557,560,"Curwen,",Simon,"Curwen, Sir Simon"
720,William,501,508,,Hilton,William Hilton
721,Thomas,316,322,therof by,Knel,therof by Thomas Knel
723,maister,24,31,one,,one maister
726,maister,9,16,Also one,Lee at,Also one maister Lee at
731,Nicholas,65,73,was one,,was one Nicholas
733,Thomas,10,16,one,Smith,one Thomas Smith
743,Maister,0,7,,Smith,Maister Smith
745,Maister,0,7,,Pellham,Maister Pellham
749,Maister,0,7,,Dymock,Maister Dymock
750,Maister,0,7,,Marsh,Maister Marsh
751,Maister,0,7,,Madison,Maister Madison
752,Maister,0,7,,William,Maister William
752,Maister,51,58,"Askugh,",Merin,"Askugh, Maister Merin"
752,Maister,99,106,,Fitz,Maister Fitz
752,Sir,34,37,"Kelsey,",Hugh,"Kelsey, Sir Hugh"
752,William,8,15,Maister,Askugh,Maister William Askugh
762,Henry,4,9,Sir,Ley Knight,Sir Henry Ley Knight
762,Knight,14,20,Henry Ley,(dwelling,Henry Ley Knight (dwelling
762,Sir,0,3,,Henry,Sir Henry
763,William,250,257,if one,,if one William
763,William,411,418,same,White,same William White
770,maister,152,159,one,,one maister
781,Sir,355,358,"Bursse, to",Thomas,"Bursse, to Sir Thomas"
781,Thomas,359,365,to Sir,Greshams,to Sir Thomas Greshams
785,Charles,147,154,Maiestie to,the ninth,Maiestie to Charles the ninth
785,Sir,39,42,"Candlemas,",Thomas,"Candlemas, Sir Thomas"
785,Thomas,43,49,Sir,Sackuille,Sir Thomas Sackuille
789,Marques,317,324,with the,of Trans,with the Marques of Trans
789,Marques,677,684,wherewith the,was sore,wherewith the Marques was sore
792,Frauncis,592,600,maister,Walsingham,maister Frauncis Walsingham
792,maister,584,591,and,Frauncis,and maister Frauncis
792,Sir,522,525,also,Henrye,also Sir Henrye
795,Charles,244,251,"Oxforde,",Howard,"Oxforde, Charles Howard"
795,Earle,391,396,to the,of,to the Earle of
795,Edward,202,208,were,,were Edward
795,Erle,227,231,,of Oxforde,Erle of Oxforde
795,Henry,264,269,Sir,"Lee,","Sir Henry Lee,"
795,Howard,252,258,Charles,", Sir","Charles Howard , Sir"
795,Sir,260,263,"Howard,",Henry,"Howard, Sir Henry"
796,Doctor,19,25,,Story,Doctor Story
796,Doctor,92,98,,of the,Doctor of the
796,Iohn,60,64,"Iune,",Story,"Iune, Iohn Story"
797,Erle,1098,1102,honorable the,of Leycester,honorable the Erle of Leycester
797,George,908,914,one,Thorne,one George Thorne
797,George,3126,3132,downe by,,downe by George
797,George,5283,5289,sureties of,Thorne,sureties of George Thorne
797,Henry,1007,1012,broughte,Nayler,broughte Henry Nayler
797,Henry,3831,3836,with sir,,with sir Henry
797,Henry,4237,4242,sureties of,Nailer,sureties of Henry Nailer
797,Henry,5374,5379,immediately Sir,Cheyney,immediately Sir Henry Cheyney
797,Iohn,312,316,and,Kime,and Iohn Kime
797,sir,3737,3740,then,,then sir
797,sir,3827,3830,with,Henry,with sir Henry
797,Sir,4356,4359,"therevppon,",Ierome,"therevppon, Sir Ierome"
797,Sir,5370,5373,immediately,Henry,immediately Sir Henry
797,Thomas,398,404,againste,Paramore,againste Thomas Paramore
797,Thomas,809,815,sayd,Paramour,sayd Thomas Paramour
797,Thomas,6221,6227,,Thorne,Thomas Thorne
798,George,50,56,agayne to,Thorne,agayne to George Thorne
799,Thomas,115,121,wife to,Chamber,wife to Thomas Chamber
799,Thomas,206,212,said,Chamber,said Thomas Chamber
800,Duke,19,23,,of Norffolke,Duke of Norffolke
800,Duke,107,111,the,of Norffolke,the Duke of Norffolke
801,Bishop,56,62,Iewell,of Salisbury,Iewell Bishop of Salisbury
801,Bishop,76,82,"Salisbury,",of Salisbury,"Salisbury, Bishop of Salisbury"
801,Iohn,44,48,deceassed,Iewell,deceassed Iohn Iewell
802,William,173,180,by M.,Foulkes,by M. William Foulkes
803,Maister,1372,1379,chiefe,of the,chiefe Maister of the
803,sir,58,61,London,William,London sir William
803,William,62,69,London sir,Allin,London sir William Allin
810,Iohn,499,503,"estimation,",Cardone,"estimation, Iohn Cardone"
811,Counte,455,461,and the,de Santa,and the Counte de Santa
811,Iohn,309,313,was Don,de Austria,was Don Iohn de Austria
812,Duke,108,112,to the,of,to the Duke of
813,Earle,25,30,"December,",of Kent,"December, Earle of Kent"
813,Earle,109,114,restored,of Kente,restored Earle of Kente
814,Peeter,93,99,William,Knyghte,William Peeter Knyghte
814,Sir,26,29,"Ianuary,",William,"Ianuary, Sir William"
814,Sir,81,84,deceassed,William,deceassed Sir William
814,William,30,37,"Ianuary,Sir",Peter,"Ianuary,Sir William Peter"
814,William,85,92,deceassed Sir,Peeter,deceassed Sir William Peeter
815,Duke,73,77,,of Norffolke,Duke of Norffolke
815,Duke,144,148,Howarde,of Northfolke,Howarde Duke of Northfolke
815,Earle,266,271,"Talbot,",of Shrewsburye,"Talbot, Earle of Shrewsburye"
815,George,227,233,before,Lorde,before George Lorde
815,Thomas,129,135,Lord,Howarde,Lord Thomas Howarde
817,Duke,0,4,,of Norffolke,Duke of Norffolke
818,Henry,182,187,and,Rolfe,and Henry Rolfe
819,Earle,162,167,deceased.,of Wilshire,deceased. Earle of Wilshire
819,Iohn,90,94,Sainte,",Sir William","Sainte Iohn ,Sir William"
819,Marques,181,188,"Wilshire,",,"Wilshire, Marques"
819,Sir,31,34,deceassed,William,deceassed Sir William
819,Sir,95,98,"Iohn,",William,"Iohn, Sir William"
819,William,35,42,deceassed Sir,Paulet,deceassed Sir William Paulet
819,William,99,106,"Iohn,Sir",Paulet,"Iohn,Sir William Paulet"
820,Richarde,103,111,Kyng,the thyrde,Kyng Richarde the thyrde
821,Edwarde,108,115,"eyght,",the sixt,"eyght, Edwarde the sixt"
821,Elizabeth,150,159,Queene,. All,Queene Elizabeth . All
821,Henry,73,78,"seuenth,",the,"seuenth, Henry the"
821,Queene,126,132,"sixt,",Mary,"sixt, Queene Mary"
821,Queene,143,149,and,Elizabeth,and Queene Elizabeth
825,Earle,175,180,created,of Essex,created Earle of Essex
825,Earle,270,275,created,of Lincolne,created Earle of Lincolne
825,Edwarde,195,202,And,Fines,And Edwarde Fines
826,Henry,165,170,Sir,Compton,Sir Henry Compton
826,Knight,179,185,Compton,", Lorde","Compton Knight , Lorde"
826,Sir,161,164,made.,Henry,made. Sir Henry
826,Sir,235,238,"hole,",Henrye,"hole, Sir Henrye"
826,Sir,282,285,"Todington,",William,"Todington, Sir William"
826,Sir,342,345,and,Henrye,and Sir Henrye
826,William,286,293,Sir,Paulet,Sir William Paulet
828,Arthur,290,296,named,Hall,named Arthur Hall
829,Arthur,34,40,said,Hall,said Arthur Hall
829,Arthur,146,152,said,had wel,said Arthur had wel
829,Arthur,440,446,saide,was waying,saide Arthur was waying
829,Arthur,610,616,said,on the,said Arthur on the
829,Doctor,242,248,hathe,Gardners,hathe Doctor Gardners
829,Laurence,1811,1819,Saint,Pontney,Saint Laurence Pontney
829,Roberte,1835,1842,named,Gee a,named Roberte Gee a
831,Arthur,358,364,Sir,Chambernowne,Sir Arthur Chambernowne
831,Earle,19,24,,of Lin,Earle of Lin
831,Earle,142,147,honorable,of Lincolne,honorable Earle of Lincolne
831,Edward,424,430,and Sir,Hastings,and Sir Edward Hastings
831,Sir,354,357,"Clinton,",Arthur,"Clinton, Sir Arthur"
831,Sir,379,382,"Chambernowne,",,"Chambernowne, Sir"
831,Sir,420,423,and,Edward,and Sir Edward
832,Francis,686,693,"party,",M,"party, Francis M"
832,Maister,871,878,and,,and Maister
832,Queene,830,836,,of England,Queene of England
832,Sir,849,852,"England,",Thomas,"England, Sir Thomas"
832,Thomas,853,859,Sir,Smyth,Sir Thomas Smyth
833,Duke,359,363,,of Aniou,Duke of Aniou
833,Duke,432,436,,of Alanson,Duke of Alanson
835,Duke,94,98,"eight,",of Norffolke,"eight, Duke of Norffolke"
835,Duke,135,139,Howard,of Northfolke,Howard Duke of Northfolke
835,Howard,128,134,Thomas,Duke,Thomas Howard Duke
835,Thomas,121,127,beheaded,Howard,beheaded Thomas Howard
836,Charles,177,184,generall to,the,generall to Charles the
836,Duke,53,57,Francis,of Motmorency,Francis Duke of Motmorency
836,Francis,45,52,Ambassadors.,Duke,Ambassadors. Francis Duke
837,Duke,209,213,,of Motmorency,Duke of Motmorency
837,George,76,82,Sainte,was holden,Sainte George was holden
837,Knight,241,247,saulled,of the,saulled Knight of the
839,Thomas,24,30,"Iune,",Lorde,"Iune, Thomas Lorde"
840,Earle,357,362,The,of Sussex,The Earle of Sussex
840,Howard,300,306,William,", late","William Howard , late"
840,sir,198,201,made,William,made sir William
840,sir,409,412,,Thomas,sir Thomas
840,Thomas,413,419,sir,Smith,sir Thomas Smith
840,William,202,209,made sir,Cicill,made sir William Cicill
840,William,292,299,Lorde,Howard,Lorde William Howard
841,Earle,35,40,"Percy,",of Northumberlande,"Percy, Earle of Northumberlande"
841,Erle,70,74,beheaded.,of Northumberland,beheaded. Erle of Northumberland
841,Thomas,22,28,"August,",Percy,"August, Thomas Percy"
842,Sir,101,104,"August,",Thomas,"August, Sir Thomas"
842,Thomas,105,111,Sir,Smith,Sir Thomas Smith
842,Thomas,248,254,sonne,Smith,sonne Thomas Smith
844,Earle,34,39,"Nouember,",of Derby,"Nouember, Earle of Derby"
844,Earle,86,91,,of Derby,Earle of Derby
844,Edwarde,60,67,deceassed.,,deceassed. Edwarde
844,George,2046,2052,of his,and,of his George and
844,Prince,2177,2183,to his,as he,to his Prince as he
845,Iohn,26,30,"Nouember,",Hall,"Nouember, Iohn Hall"
847,knight,217,223,"seale,",of the,"seale, knight of the"
847,William,137,144,"Ianuarie,",Lorde,"Ianuarie, William Lorde"
850,Earle,120,125,Somerset,of Worcester,Somerset Earle of Worcester
850,Earle,404,409,sayde,with,sayde Earle with
850,Elizabeth,752,761,,. They,Elizabeth . They
850,Erle,19,23,,of Worcester,Erle of Worcester
850,Erle,516,520,"baggage,",of Worcester,"baggage, Erle of Worcester"
850,William,80,87,"Ianuarie,",,"Ianuarie, William"
851,Earle,239,244,of the,,of the Earle
851,Erle,1694,1698,robbed the,of Worcester,robbed the Erle of Worcester
851,William,783,790,charge of,Holstock,charge of William Holstock
851,William,1785,1792,sayde,Holstocke,sayde William Holstocke
853,Erle,20,24,"March,",of Kent,"March, Erle of Kent"
853,Erle,94,98,"Ruthen,",of Kent,"Ruthen, Erle of Kent"
853,Gray,78,82,Reynald,of Ruthen,Reynald Gray of Ruthen
854,George,51,57,"weke,",,"weke, George"
854,George,209,215,"Ladie,",Browne,"Ladie, George Browne"
854,George,345,351,named,Saunders,named George Saunders
854,Iohn,372,376,other,,other Iohn
855,George,62,68,sayde,Browne,sayde George Browne
855,Iohn,497,501,him and,Bean,him and Iohn Bean
855,Iohn,556,560,but,Bean,but Iohn Bean
855,Maister,189,196,that,Saunders,that Maister Saunders
855,Maister,273,280,of one,Barnes,of one Maister Barnes
855,maister,536,543,seruant to,Barnes,seruant to maister Barnes
856,George,2348,2354,"with him,",Brow,"with him, George Brow"
857,maister,1090,1097,accessaries to,Sanders,accessaries to maister Sanders
858,George,88,94,forenamed,Browne,forenamed George Browne
861,knight,113,119,Drurie,marshal,Drurie knight marshal
861,Queene,4,10,Our,at the,Our Queene at the
861,sir,76,79,appoynted,,appoynted sir
861,William,98,105,,Drurie,William Drurie
862,Frauncis,77,85,him sir,Russell,him sir Frauncis Russell
862,George,99,105,sir,Carie,sir George Carie
862,Henrie,117,123,sir,"Lee,","sir Henrie Lee,"
862,maister,129,136,"Lee,",,"Lee, maister"
862,maister,170,177,"Cecill,",Michaell,"Cecill, maister Michaell"
862,maister,265,272,Erington,of the,Erington maister of the
862,maister,429,436,"Strelley,",,"Strelley, maister"
862,maister,470,477,"Sutton,",Cotton,"Sutton, maister Cotton"
862,maister,486,493,"Cotton,",Kelway,"Cotton, maister Kelway"
862,maister,502,509,"Kelway,",Dier,"Kelway, maister Dier"
862,maister,516,523,"Dier,",Tilney,"Dier, maister Tilney"
862,sir,38,41,sayde,William,sayde sir William
862,sir,73,76,with him,Frauncis,with him sir Frauncis
862,sir,95,98,"Russell,",George,"Russell, sir George"
862,sir,113,116,"Carie,",Henrie,"Carie, sir Henrie"
862,Thomas,155,161,,Cecill,Thomas Cecill
862,Thomas,455,461,,Sutton,Thomas Sutton
862,William,42,49,sayde sir,Dunrie,sayde sir William Dunrie
863,knight,44,50,"Graunge,",", for","Graunge, knight , for"
863,Sir,0,3,,William,Sir William
863,William,4,11,Sir,Kirkaudie,Sir William Kirkaudie
867,maister,29,36,one,Maunsfield,one maister Maunsfield
868,maister,19,26,"May,",Neuill,"May, maister Neuill"
873,Frauncis,60,68,dutie.Sir,Russell,dutie.Sir Frauncis Russell
873,Sir,56,59,dutie.,Frauncis,dutie. Sir Frauncis
874,Elizabeth,1159,1168,Queene,a,Queene Elizabeth a
874,Queene,1152,1158,"England,",Elizabeth,"England, Queene Elizabeth"
874,Robert,573,579,and,Meluin,and Robert Meluin
874,Sir,824,827,handes of,William,handes of Sir William
874,William,828,835,of Sir,Drurie,of Sir William Drurie
875,sir,78,81,sayde,William,sayde sir William
875,sir,231,234,sayde,William,sayde sir William
875,William,82,89,sayde sir,Drurie,sayde sir William Drurie
875,William,235,242,sayde sir,Drurie,sayde sir William Drurie
878,sir,51,54,policie of,William,policie of sir William
878,William,55,62,of sir,Drurie,of sir William Drurie
880,Frauncis,634,642,Sir,Russel,Sir Frauncis Russel
880,George,1581,1587,SIr,Carie,SIr George Carie
880,Henrie,687,693,Maister,Killigrew,Maister Henrie Killigrew
880,Henry,1627,1632,Sir,Lee Knight,Sir Henry Lee Knight
880,Henry,1761,1766,Maister,Carie,Maister Henry Carie
880,Knight,650,656,Russel,.,Russel Knight .
880,Knight,1594,1600,Carie,.,Carie Knight .
880,Knight,1637,1643,Henry Lee,.,Henry Lee Knight .
880,Maister,679,686,,Henrie,Maister Henrie
880,maister,860,867,Erington,of the,Erington maister of the
880,Maister,1343,1350,,Thomas,Maister Thomas
880,Maister,1666,1673,,Thomas,Maister Thomas
880,Maister,1709,1716,,Michael,Maister Michael
880,Maister,1753,1760,,Henry,Maister Henry
880,Maister,1795,1802,,VVilliam,Maister VVilliam
880,Maister,1842,1849,,Thomas,Maister Thomas
880,Maister,1886,1893,,Cotton,Maister Cotton
880,Maister,1923,1930,,Kelway,Maister Kelway
880,Maister,1960,1967,,Dier,Maister Dier
880,Maister,1995,2002,,Tilney,Maister Tilney
880,Maister,2032,2039,,VVilliam,Maister VVilliam
880,Maister,2080,2087,,VVilliam,Maister VVilliam
880,SIr,525,528,,VVilliam,SIr VVilliam
880,Sir,630,633,,Frauncis,Sir Frauncis
880,SIr,1577,1580,,George,SIr George
880,Sir,1623,1626,,Henry,Sir Henry
880,Thomas,19,25,"Iune,",Woodhouse,"Iune, Thomas Woodhouse"
880,Thomas,36,42,"Woodhouse,",Woodhouse,"Woodhouse, Thomas Woodhouse"
880,Thomas,1351,1357,Maister,Barton,Maister Thomas Barton
880,Thomas,1674,1680,Maister,Cecil,Maister Thomas Cecil
880,Thomas,1850,1856,Maister,Sutton,Maister Thomas Sutton
889,Erle,28,32,Walter,of Essex,Walter Erle of Essex
890,Earle,4,9,The,after,The Earle after
890,Earle,949,954,to the,of Essex,to the Earle of Essex
890,maister,340,347,"Malbie,",Smith,"Malbie, maister Smith"
890,maister,431,438,,Malbis,maister Malbis
890,Sir,759,762,Dartes.,Bryan,Dartes. Sir Bryan
891,erle,181,185,to the,", to signifie","to the erle , to signifie"
892,Earle,266,271,Commission the,of Essex,Commission the Earle of Essex
892,Erle,4,8,The,of Essex,The Erle of Essex
892,Erle,58,62,"other,",of Essex,"other, Erle of Essex"
893,Bishop,1000,1006,Edwin,of London,Edwin Bishop of London
893,Bishop,1657,1663,as the,his Ordinarie,as the Bishop his Ordinarie
893,Iohn,211,215,named,Hawkins,named Iohn Hawkins
893,Maister,656,663,sayde,Hawkins,sayde Maister Hawkins
893,sir,296,299,with,William,with sir William
893,William,300,307,with sir,Winter,with sir William Winter
894,maister,1134,1141,wounded,Hawkins,wounded maister Hawkins
896,Iohn,834,838,and one,Cowper,and one Iohn Cowper
896,Thomas,785,791,one,,one Thomas
901,Charles,164,171,London for,,London for Charles
916,Marie,389,394,virgin,.,virgin Marie .
921,Archbishop,18,28,"of May,",of Canterburie,"of May, Archbishop of Canterburie"
929,Elizabeth,294,303,names of,", Marie","names of Elizabeth , Marie"
929,Margaret,312,320,"Marie,",", and","Marie, Margaret , and"
929,Marie,305,310,"Elizabeth,",", Margaret","Elizabeth, Marie , Margaret"
935,Prince,280,286,with the,of Orange,with the Prince of Orange
935,Prince,699,705,,of Orange,Prince of Orange
935,Prince,1270,1276,with the,of Orange,with the Prince of Orange
935,Prince,1780,1786,to the,arrested,to the Prince arrested
935,William,2291,2298,"y, &",Godard,"y, & William Godard"
936,Counte,349,355,yong,de Egmont,yong Counte de Egmont
936,Doctor,1313,1319,ouer of,Wilson,ouer of Doctor Wilson
936,Marques,372,379,the,de Hauery,the Marques de Hauery
936,Prince,247,253,with the,of Orange,with the Prince of Orange
940,Earle,16,21,Deueroux,of Essex,Deueroux Earle of Essex
940,Earle,39,44,and Eu,Marshall,and Eu Earle Marshall
940,Earle,330,335,"therewith,The",of Essex,"therewith,The Earle of Essex"
940,Knight,66,72,"Ireland,",of the,"Ireland, Knight of the"
943,Iohn,231,235,,Stow,Iohn Stow
943,Richarde,172,180,abridgement of,Grafton,abridgement of Richarde Grafton
944,Elizabeth,369,378,Queene,", whose","Queene Elizabeth , whose"
944,Maister,1021,1028,rehearsed by,Bale,rehearsed by Maister Bale
944,Queene,362,368,Lady,Elizabeth,Lady Queene Elizabeth
